Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220817728,Atmosphere,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,4.38,Ballantine Books,Hardcover,352,2025,2025,,2025/08/25,to-read,to-read (#202),to-read,,,,0,0
214312329,What Does It Feel Like?,Sophie Kinsella,"Kinsella, Sophie",,"=""0593977564""","=""9780593977569""",4,4.22,The Dial Press,Hardcover,133,2024,2024,2025/06/01,2025/06/22,,,read,,,,1,0
207567539,The Truck Cat,Deborah Frenkel,"Frenkel, Deborah",Danny Snell,"=""176121229X""","=""9781761212291""",3,4.59,Bright Light,Hardcover,32,2024,,2025/06/01,2025/06/26,,,read,It's toooooo short!,,,1,0
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",4,4.09,Workman Publishing Company,Paperback,215,2014,2014,2024/06/14,2024/06/14,,,read,"This book has been on my reading list for a long time, and I finally read it. In my view, the best books motivate you to do something you never thought of before or thought you couldn't do, and this book did just that. While reading this book, I decided to show more work on LinkedIn, even if it is not perfect. I also realized that I should finish my site soon, rent a server, buy a unique domain name, and publish articles and videos.",,,1,0
220921867,"The Housemaid's Wedding (The Housemaid, #2.5)",Freida McFadden,"McFadden, Freida",,"=""""","=""""",2,3.34,Hollywood Upstairs Press,Kindle Edition,76,2024,2024,2025/08/14,2025/08/13,,,read,,,,1,0
195967140,The Teacher,Freida McFadden,"McFadden, Freida",,"=""1728296218""","=""9781728296210""",2,3.90,Poisoned Pen Press,Paperback,379,2024,2024,2025/08/20,2025/08/19,,,read,,,,1,0
61885120,Fire with Fire,Candice Fox,"Fox, Candice",,"=""125087596X""","=""9781250875969""",0,4.18,Forge Books,Hardcover,314,2023,2023,,2025/08/25,to-read,to-read (#201),to-read,,,,0,0
61175204,The Inmate,Sebastian Fitzek,"Fitzek, Sebastian",,"=""1804542318""","=""9781804542316""",0,4.22,Head of Zeus -- an Aries Book,Kindle Edition,400,2023,2018,,2025/08/25,to-read,to-read (#200),to-read,,,,0,0
35458732,"Close to Home (DI Adam Fawley, #1)",Cara Hunter,"Hunter, Cara",,"=""0143131052""","=""9780143131052""",0,4.00,Penguin Books,Paperback,289,2018,2017,,2025/08/25,to-read,to-read (#199),to-read,,,,0,0
34655417,Appetite for Innocence,Lucinda Berry,"Berry, Lucinda",,"=""""","=""""",0,4.06,Rise Press,ebook,358,2017,2017,,2025/08/25,to-read,to-read (#198),to-read,,,,0,0
9783200,"Now You See Me (Lacey Flint, #1)",Sharon J. Bolton,"Bolton, Sharon J.",,"=""0312600526""","=""9780312600525""",0,4.04,Minotaur Books,Hardcover,400,2011,2011,,2025/08/25,to-read,to-read (#197),to-read,,,,0,0
7180727,"Live to Tell (Detective D.D. Warren, #4)",Lisa Gardner,"Gardner, Lisa",,"=""0553807242""","=""9780553807240""",0,4.18,Bantam,Hardcover,400,2010,2010,,2025/08/25,to-read,to-read (#196),to-read,,,,0,0
60776206,"See It End (Dr. Gretchen White, #3)",Brianna Labuskes,"Labuskes, Brianna",,"=""1542035538""","=""9781542035538""",0,4.47,Thomas & Mercer,Kindle Edition,377,2023,2023,,2025/08/25,to-read,to-read (#195),to-read,,,,0,0
57831170,"What Can't Be Seen (Dr. Gretchen White, #2)",Brianna Labuskes,"Labuskes, Brianna",,"=""""","=""""",0,4.30,Thomas & Mercer,Kindle Edition,364,2022,2022,,2025/08/25,to-read,to-read (#194),to-read,,,,0,0
55582157,"A Familiar Sight (Dr. Gretchen White, #1)",Brianna Labuskes,"Labuskes, Brianna",,"=""1542027357""","=""9781542027359""",0,4.11,Thomas & Mercer,Kindle Edition,367,2021,2021,,2025/08/25,to-read,to-read (#193),to-read,,,,0,0
31868165,Captivate: The Science of Succeeding with People,Vanessa Van Edwards,"Edwards, Vanessa Van",,"=""0399564489""","=""9780399564482""",5,4.11,Portfolio,Hardcover,320,2017,2017,2023/01/01,2025/08/25,,,read,,,,1,0
58065810,Cues: Master the Secret Language of Charismatic Communication,Vanessa Van Edwards,"Edwards, Vanessa Van",,"=""0593332199""","=""9780593332191""",5,4.22,Portfolio,Hardcover,320,2022,,,2024/06/25,,,read,,,,1,0
